,Job_ID,Job_Title,Company_Name,Location,Job_Description,Python,R ,Matlab,Excel,SAS,SQL,SPSS,Hadoop,Spark
0,eb035b7aaaf2ec3e,Junior Data Scientist,Game Hive Corporation,"Toronto, ON","['\nContinuously build games that you make serious impact in!', '\nCompetitive salary and bonus structure', '\nComprehensive health and dental benefits package', '\nA learning fund for your professional development', '\nA fun, collaborative, feedback-focused, no-BS environment', '\nRegular paid team lunches, events, and other fun outings', '\nGreat central office location with all the snacks and drinks you can consume', '\nBuild fully functional and visually appealing dashboards and other data visualizations using key business metrics and KPI’s', '\nIdentify trends and behaviours using evidence from key business metrics and provide actionable insights', '\nWrite complex queries in a logical and organized manner to improve existing data analytical platforms', '\nConduct, present and explain statistical analyses in a clear and concise manner that will directly impact executive decisions', '\nPerform ongoing QA and debugging of analytical platforms by working with key stakeholders', '\nValidate data within existing data warehouse to assist the Data Scientist in ensuring successful implementation of data pipelines and ETL', '\nSupport the Data Scientist to continuously improve and enhance performance of business analytical platforms', '\nProactively influence and assist in building a core foundation of data science and data analytics at Game Hive', '\nBachelor’s Degree in a highly quantitative field (Mathematics, Statistics, Physics, Economics, Finance) or related analytical fields', '\n1 - 3 years of professional working experience in data science or business analytics', '\nExperience with one or more (statistical) programming languages (R, Python, etc.)', '\nMust have strong proficiency in Tableau (extracts, action filtering, parameter creation, dashboard design and visualization)', '\nMust have strong SQL skills and general database knowledge', '\nMust be experienced with distributed data processing systems (Spark)\n', 'Must have good knowledge of statistical analysis and techniques (sampling, time series, regression)', '\nMust have strong attention to detail', '\nMust have a strong understanding of reporting data integrity and accuracy', '\nProven ability to query and handle large complex datasets from various different sources', '\nAbility to be an effective communicator by presenting, explaining and simplifying technical concepts', '\nAbility to work in a fast-paced environment with changing priorities', '\nWillingness to approach analytical challenges in a positive way', '\nAptitude and willingness to learn new technologies for furthering data science and analytics at Game Hive', '\nExperience scripting and performing data ETL', '\nExperience in social or mobile game development', '\nFamiliarity with free-to-play game design concepts and industry-standard KPIs used to measure game performance', '\nKnowledge of mobile app advertising and online marketing']",1,0,0,0,0,1,0,0,1
1,37fb701ac3c3073c,"Data Scientist, Digital Factory",Scotiabank,"Toronto, ON","['You will be working on major projects including delivering data science support for Digital Marketing', 'Exploring and leverage massive volumes of structured and unstructured format data to create actionable insights', 'You will develop, deploy and monitor predictive models', 'You will prepare detailed documentation to outline data sources, methodologies, models and algorithms used and developed', 'Present results to business line stakeholders and help create a data-driven culture', 'Collaborate with stakeholders and identify opportunities to drive business value by leveraging Artificial Intelligence and Machine Learning', 'You will access all of our data in it’s various forms and staging areas (Warehouse, Data Lake and Cloud)', 'Leverage distributed computing, machine learning and AI techniques for analysis, data mining and modeling', 'You have a University degree and above in relevant STEM discipline (Computer Sciences, Electrical/Computer/Software Engineering, Mathematics, Statistics), preferably master', 'You have strong Python programming skills and knowledge of SAS or R', 'You have hands-on experience with SQL language and datastores', 'You have experience cleaning, transforming and visualizing large data sets working with various data formats', 'You have experience with common machine Learning libraries in Python, Spark, and Deep Learning/AI frameworks', 'You have a well-rounded knowledge of Google Cloud Platform', 'You have knowledge of Data tools and ecosystem (e.g., Hive, Sqoop, Spark, Kafka)', 'We have an inclusive and collaborative working environment that encourages creativity, curiosity, and celebrates success!', 'We provide you with the tools and technology needed to create beautiful customer experiences', ""You'll get to work with and learn from diverse industry leaders, who have hailed from top technology companies around the world"", ""Dress codes don't apply here, being comfortable does"", 'Free shuttle service to and from Union station, which means more money in your pocket', 'Onsite subsidized cafeteria with a chef, so you can snack all day, every day', 'Onsite fitness center, so you can feel your best', 'This isn\'t your typical ""corporate"" job. We work hard and we have fun!', 'Access to thousands of online and in-person courses so you can brush up on skills, or learn new ones', 'Career progression opportunities. We hire you for your talent and not just for the job. We want to see you succeed not just in your role but in your career as a whole', 'A competitive rewards package that includes a base salary, a performance bonus, company matching programs on pension and profit sharing, paid vacation, personal & sick days, medical, vision and dental benefits that start from day one and much more!']",1,1,0,0,1,1,0,0,1
2,82e73f26f2fbe40b,Data Scientist I,TD Bank,"Toronto, ON","['\nWork closely with business owners to identify opportunities and serve as an ambassador for data science', '\nDesign and deliver enterprise analytic solutions to our customers', '\nDevelop powerful business insights from social, marketing and industrial data using advanced machine learning techniques', '\nBuild complex statistical models that learn from and scale to petabytes of data.', '\nWork in a highly interactive, team-oriented environment with Big Data developers and Visualisation experts', 'Graduate level qualification in a relevant technical field (Computer Science, Engineering, Applied Mathematics/Statistics, Operations Research) ideally with a specialization in data mining/machine learning', ""\nUp to 5 years' experience of working in analytical environments"", '\nDeep expertise in analytical tools such as R/Matlab/SAS/Stata', '\nExperience of scripting languages such as Python/Ruby/PHP etc.', '\nExperience of relational databases and usage of SQL', '\nExperience of Object Orientated programming via Java/C++', '\nExperience of Big data technologies (Hadoop, HIVE, PIG, Spark etc.) and unstructured data', '\nDemonstrated track record of manipulation of large volume, high frequency data for analytical purposes on a Big Data platform', '\nDemonstrated experience of developing and implementing statistical models (predictive & descriptive)', '\nDemonstrated experience in delivering high quality, high impact analytical solutions to business problems']",1,0,1,0,1,1,0,1,1
3,b89dedae5cb55e0a,Data Scientist,BFS Capital,"Toronto, ON","['Participate in advanced modeling projects to predict customer behaviors across the credit lifecycle including originations, portfolio management, collections and recovery', 'Provide analytic solutions to marketing partners, including customer lifetime value, cross-sell, and response', 'Continuously evaluate new third-party data sources and make recommendations on data sources to bring into production environments', 'Work with multiple data sources to continuously improve credit risk predictions, including credit data, internal data, bank transactional data, and alternative data', 'Master’s or Ph.D. in Data Science, Statistics, Economics, or related quantitative field (e.g. physics or mathematics) or equivalent practical experience', 'Advance programming knowledge including SQL, R and Python', 'Ability to collaborate with IT, Marketing and Finance developing, implementing and integrating advanced analytics including machine learning algorithms and artificial intelligence to solve business problems', 'Experience working with structured and un-structured data', 'Experience as a data scientist, or model developer, preferably in financial services', 'Knowledge of personal and commercial credit data, and bank transactional data', 'Knowledge of alternative data sources including social media', 'Be part of a dynamic, collaborative, progressive and high-performing team building revolutionary products that matter', 'Competitive salary and benefits', 'Continued professional development', 'Flexible work/life balance options', 'Casual dress code']",1,1,0,0,0,1,0,0,0
4,b5a19c8ed4b9fc2a,"Evidence Generation Data Scientist or Sr Associate, Data Scientist / Epidemiologist",Amgen,"Mississauga, ON","['\nTo plan and execute Observational Research using Real World Data to answer key question regarding our therapeutic areas.', '\nGenerate Scientific Evidence from internal and external databases, both private and public.', '\nTo contribute Observational Research strategies to achieve ACI Evidence Generation goals cross-functionally.', '\nMap, identify and access the best RWD (Real World Data) sources to enable RWE (Real World Evidence) tactical plan.', '\nExecute and manage descriptive epidemiologic studies to characterize the incidence/prevalence and distribution of diseases, the natural history and clinical burden of disease, cost and utilization patterns, and the safety and effectiveness of therapies.', '\nExecute and manage research projects involving the analysis of multiple types of data including medical claims, EMR and prospective observational cohort studies.', '\nEnsure compliance to all internal and external rules regarding access to data, publication and development of observational research.', '\nLiaising with internal stakeholders concerning data acquisitions, and patient registry development/partnerships, etc. usability and re-usability of data.', '\nConduct literature reviews and preparing research reports for scientific manuscripts.', '\nStay abreast of the latest developments in the field of observational research and drug development.', '\nPromote awareness, understanding and use of observational research methods.', '\nConfirming selection and appropriate use of suitable database study designs for studies.', '\nPartnering with hospitals and clinics to use external information as a way to solve clinical and scientific questions.', '\nPartnering with the Access Team to ensure maximum impact of activities to the patient.', '\nDesign and implement Real World Data (RWD) studies to generate Real World Evidence (RWE).', '\nProviding strategic direction to address complex health outcomes challenges.', '\nDefining and shaping research with partners and/or vendors to produce high quality research results.', '\nCooperate with IT departments to correct and efficient health care data warehousing.', '\nKeep updated with current trends in data science applied to health outcomes evaluation.', '\nBackground in medical informatics, epidemiology and/or statistics', '\n3+ years’ experience with data science, focus in health care data', '\nMedical / Scientific research experience', '\nExperience in handling large datasets', '\nExperience in the design, execution and analysis of observation research studies within Pharmaceutical and/or Public Health settings', '\nExperience in observational research project planning and management', '\nExperience working in multi-disciplinary teams', '\nStrong knowledge of the scientific method and observational research methods', '\nGood statistical methods knowledge', '\nKnowledge on public health care databases and how to handle them', '\nData science tools: R, STATA, SPSS or Python', '\nDemonstrates strong knowledge in SQL, data handling, warehousing and analysis', '\nDemonstrates strong project management and presentation skills', '\nGood knowledge of clinical research, drug safety, legal and compliance environment', '\nWillingness to continuously expand medical, scientific, market and industry knowledge']",1,1,0,0,0,1,1,0,0
5,121d53014cdcdf10,"Research Scientist, Data Visualization",Autodesk,"Toronto, ON","['\nConceive, plan, develop, and implement scientific research projects to advance scientific knowledge in business-relevant areas', '\nPublish papers in peer-reviewed scientific journals/conferences', '\nSupervise research interns (typically PhD students from top research universities)', '\nPresent research findings at conferences and participate in research collaborations with external research institutes and universities', '\nCommunicate and promote the use of research findings throughout Autodesk', '\nConsult with product teams on the implementation of research findings into products', '\nGenerate intellectual property such as patents and trade-secrets from research findings', '\nManage and coordinate projects as they move from research prototype to shipping products or services', '\nPh.D. in Computer Science, Engineering, Mathematics or other relevant disciplines, ideally on the topic of Human-Computer Interaction or a closely-related area', '\nDemonstrated experience of HCI research fundamentals, including experience designing and evaluating novel interfaces and technologies', '\nStrong history of publications in HCI or related fields', '\nExcellent written and oral communication skills', '\nAbility to quickly learn new technologies and adapt to new situations', '\nAbility to conduct quantitative and qualitative studies to evaluate concepts, designs, and systems', '\nAbility to work collaboratively with people from many different disciplines (design, development, etc.)']",0,0,0,1,0,0,0,0,0
6,54f8064bbcbd2c0b,Sr. Data Scientist,Fusion Analytics,"Toronto, ON","['You will become a master in data science, statistical modelling & analytics\n', 'Exposure to Canada’s largest and most successful companies\n', 'Opportunity for aggressive promotion as we build our team\n', 'Work with the smartest team of data scientists in the country\n', 'Contribution to company success is encouraged from day one\n', 'No politics and we work hard for everyone to succeed\n', 'Highly supportive work culture (learn more at http://www.fusionanalytics.com/team.html ).\n', 'Team builders (e.g. BBQs, board game nights)\n', 'Equal opportunity employer\n', 'Develop a complex analytical model to help a national home decor retailer optimize their business operation\n', 'Build an integrated media mix model for a $20 billion international retailer\n', 'Work with a major national retailer to develop a predictive model to measure, monitor and forecast key industry indicators\n', 'A Masters or undergraduate degree with knowledge in data science (Mathematics, Statistics, Engineering, Finance, Science)\n', '3+ years of professional experience related to data science, modelling and analytics\n', 'Strong technical skill in data modelling, machine / deep learning models (R, Python, Power Pivot, Power BI)\n', 'Strong sense of curiosity, with advanced critical thinking and analytical skills\n', 'Passionate about problem-solving and will rise to any challenge\n', 'Track record in doing excellent work in a high pressure and fast paced environment\n', 'Competitive top-tier data scientist level salary\n', 'Health & dental benefits for spouse and dependents\n', 'Share options at the management level\n', 'Flexible start dates through 2019 and 2020\n', 'Ongoing\n', 'Apply with a PDF copy of your resume and undergraduate transcript.\n', 'Please name all files ((applicant name)) - ((document)) for example John Doe - Transcript.pdf.\n', 'Your resume should highlight your education, your overall GPA at each academic level, academic scholarships/awards, analytical experience (labeled as Analytical Experience), and other experience (labeled as Other Experience).\n', 'We define analytical experience in its broadest sense (working in a medical lab doing tests, software programming, robotic design, engineering projects, financial modeling, etc.).']",1,0,0,1,0,0,0,0,0
7,f50babb82977972d,Data Scientist,CI Investments Inc,"Toronto, ON","['Develop a comprehensive understanding of the most significant opportunities and challenges facing our business', 'Extract and work large, complex datasets using SQL and either R or Python', 'Use sophisticated predictive modelling techniques to build, validate, implement, score, and maintain advanced predictive models aimed at solving critical business problems', 'Assist in the development of scalable cloud based machine learning production pipelines', 'Present results in a clear and concise format to both technical and non-technical audiences', 'A proven track record of using predictive analytics to address business objectives', 'Experience using machine learning to build accurate and actionable predictive models', 'Previous experience with cloud data storage is an asset', 'Experience using Business Intelligence tools like Tableau is an asset', 'Experience in the financial services industry is an asset', 'Post-secondary degree in a quantitative discipline', 'Master’s or Ph.D. Degree is an asset', 'Proficient in supervised and unsupervised machine learning techniques, time series analysis and experimental design (A/B Testing)', 'Fluency with SQL and either Python or R', 'Experience working with large, complex datasets', 'Excellent communication, writing and interpersonal skills', 'In-depth knowledge of parametric and non-parametric statistics', 'Familiarity with relational, SQL and NoSQL databases', 'Familiarity working with data preparation tools like Talend is an asset', 'Recognition & Compensation', 'Training & Development', 'Health & Well-being', 'Communication & Feedback']",1,1,0,1,0,1,0,0,0
8,bc0d551d71c66934,Junior Data Specialist,Publicis Media,"Toronto, ON","['\nBusiness intelligence and reporting', '\nIngesting disparate digital data sources across Paid, Owned and Earned Digital Media into a consolidated environment for tracking', '\nSet up automated process for data extraction, via API, SFTP, SQL etc.', '\nExtract, transform and load data for ingestion into business intelligence platforms', '\nBuild dashboards in business intelligence platforms', '\nBuild and deploy semi-automated Excel and Powerpoint digital reporting solutions such as campaign performance tracking', '\nProvide the planning and buying teams with analysis, insights and data-informed recommendations from the aforementioned reporting areas', '\nOpportunity to work across key business intelligence platforms for digital media, mainly Datorama', '\nTranslate objectives into digital media measurement plans', '\nAnalyze and report on campaign performance through standardized ad-server attribution models', '\nLearn how to build simplistic algorithmic attribution models and implement them', '\nWork alongside data scientists to deploy more complex algorithmic attribution models', '\nMake data-informed recommendations for optimizing digital media and content, in order to improve conversion volume and efficiency', '\nOpportunity to work on key attribution platforms such as Google’s Data-Driven Attribution model with Doubleclick, and proprietary Publicis Media platforms', '\nYou will have the opportunity to translate campaign reporting and insights into actionable strategies. From implementation, you will report on these tactics to ensure data strategies meet and exceed client objectives and goals', 'Graduate of University or College level media, marketing or advertising program', '\nTechnically component and capable of working with and learning new digital and tech platforms', '\nStrong numerical and analytical skills', '\nDemonstrated ability to convert data analysis into meaningful action for brands', '\nEffective written and verbal communication skills', '\nAbility to cope under pressure and deliver to tight deadlines autonomously\n']",0,0,0,1,0,1,0,0,0
9,2f3bf7b55f8de3fe,Data Scientist,Receptiviti,"Toronto, ON","['Taking responsibility for customer engagements from start to finish. This means project planning, reading up on related work, using our existing code-base (and writing new code) to get the most from the data, to documenting and showcasing your findings.', 'Drawing on your background and your teammates’ backgrounds to solve new problems as they arise and deliver insights to customers.', 'Translating complex technical insights into simple insights that people can use.', 'Contributing new and innovative ideas to make our client deliverables and product offerings the highest quality possible.', 'Relying on the scientific standards and principles established within the fields of Psychology and Linguistics to inform the insights that you draw from data.', 'Using a range of tools and languages to work with data, including Tableau, R, Python, and JavaScript.', 'Playing a valuable role in cross-functional team discussions and contributing to the quality of all the work we do.', 'Responding to input from peers and managers on all of your work. Our best work is created collaboratively, and incorporating a range of good ideas and opinions into your work is critical to success.', 'Strong experience in data science', 'A strong background in math and statistics, especially in applying statistical analysis and modelling in social science contexts', 'A keen interest in understanding human behaviour with an understanding of concepts from Psychology, Economics, Philosophy, Sociology, and related fields', 'Programming and computer science; you’ll be required to write your own code', 'Strong communication and teamwork skills', 'Experience or education in Psychology', 'Experience in natural language processing and/or computational linguistics', 'Experience with statistical modelling', 'Familiarity with standard AI modelling techniques and tools']",1,0,0,0,0,0,0,0,0
